info:    Executing command vm image list
info:    Fetching VM images
data:    Name                                                                                                                  Category  OS       Publisher                                          
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v14.2.1                                                 Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8                                                  Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.5                                                Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.7                                                Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.8                                                Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.1                                                   Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.1.3                                                 Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.1.5.1                                               Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.2                                                   Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.2.1                                                 Public    Linux    RightScale with Linux                              
data:    0c0083a6d9a24f2d91800e52cad83950__JDK-1.6.0_101-20160315-Win-GA                                                       Public    Windows  Microsoft                                          
data:    0c0083a6d9a24f2d91800e52cad83950__JDK-1.6.0_101-20160419-Win-GA                                                       Public    Windows  Microsoft                                          
data:    0c0083a6d9a24f2d91800e52cad83950__JDK-1.6.0_101-20160523-Win-GA                                                       Public    Windows  Microsoft                                          
data:    0c0083a6d9a24f2d91800e52cad83950__JDK-1.7.0_85-20160315-Win-GA                                                        Public    Windows  Microsoft                                          
data:    0c0083a6d9a24f2d91800e52cad83950__JDK-1.7.0_85-20160419-Win-GA                                                        Public    Windows  Microsoft                                          
